width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,64,301125,602250,764768
64,64,322737,645474,808832
64,64,345901,691802,855168
64,64,370728,741456,904576
64,64,397337,794674,957760
64,64,425855,851710,1014912
64,64,456419,912838,1078848
64,64,489178,978356,1165536
64,64,524288,1048576,1290240
64,64,561919,1123838,1427680
64,64,602250,1204500,1531040
64,64,645474,1290948,1618176
64,64,691802,1383604,1710336
64,64,741456,1482912,1810560
64,64,794673,1589346,1916864
64,64,851709,1703418,2030976
64,64,912838,1825676,2157344
64,64,978356,1956712,2332640
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,2,4,416
64,256,3,6,416
64,256,3,6,416
64,256,3,6,416
64,256,3,6,416
64,256,3,6,416
64,256,4,8,416
64,256,4,8,416
64,256,4,8,416
64,256,4,8,416
64,256,4,8,416
64,256,5,10,416
64,256,5,10,416
64,256,5,10,416
64,256,6,12,416
64,256,6,12,416
64,256,7,14,416
64,256,7,14,416
64,256,7,14,416
64,256,8,16,416
64,256,8,16,416
64,256,9,18,416
64,256,10,20,416
64,256,10,20,416
64,256,11,22,416
64,256,12,24,416
64,256,13,26,416
64,256,13,26,416
64,256,14,28,416
64,256,15,30,416
64,256,16,32,416
64,256,18,36,416
64,256,19,38,416
64,256,20,40,416
64,256,22,44,416
64,256,23,46,416
64,256,25,50,416
64,256,26,52,416
64,256,28,56,416
64,256,30,60,416
64,256,32,64,416
64,256,35,70,480
64,256,37,74,480
64,256,40,80,480
64,256,43,86,480
64,256,46,92,480
64,256,49,98,480
64,256,52,104,480
64,256,56,112,480
64,256,60,120,480
64,256,64,128,480
64,256,69,138,544
64,256,74,148,544
64,256,79,158,544
64,256,85,170,544
64,256,91,182,544
64,256,98,196,608
64,256,104,208,608
64,256,112,224,608
64,256,120,240,608
64,256,128,256,608
64,256,138,276,672
64,256,148,296,672
64,256,158,316,672
64,256,169,338,736
64,256,182,364,736
64,256,195,390,800
64,256,208,416,800
64,256,223,446,800
64,256,239,478,864
64,256,256,512,864
64,256,275,550,928
64,256,295,590,992
64,256,316,632,992
64,256,338,676,1056
64,256,363,726,1120
64,256,389,778,1184
64,256,416,832,1184
64,256,446,892,1248
64,256,478,956,1312
64,256,512,1024,1376
64,256,549,1098,1504
64,256,589,1178,1568
64,256,631,1262,1632
64,256,676,1352,1760
64,256,725,1450,1824
64,256,777,1554,1952
64,256,832,1664,2016
64,256,892,1784,2144
64,256,956,1912,2272
64,256,1024,2048,2400
64,256,1098,2196,2592
64,256,1177,2354,2720
64,256,1261,2522,2912
64,256,1352,2704,3104
64,256,1449,2898,3296
64,256,1553,3106,3488
64,256,1664,3328,3680
64,256,1783,3566,3936
64,256,1911,3822,4192
64,256,2048,4096,4448
64,256,2195,4390,4768
64,256,2353,4706,5088
64,256,2522,5044,5408
64,256,2703,5406,5792
64,256,2897,5794,6176
64,256,3105,6210,6624
64,256,3327,6654,7008
64,256,3566,7132,7520
64,256,3822,7644,8032
64,256,4096,8192,8544
64,256,4390,8780,9184
64,256,4706,9412,9824
64,256,5043,10086,10464
64,256,5405,10810,11168
64,256,5793,11586,12000
64,256,6209,12418,12832
64,256,6654,13308,13664
64,256,7132,14264,14624
64,256,7644,15288,15648
64,256,8192,16384,16736
64,256,8780,17560,18560
64,256,9411,18822,19840
64,256,10086,20172,21184
64,256,10810,21620,22656
64,256,11586,23172,24192
64,256,12417,24834,25856
64,256,13308,26616,27648
64,256,14264,28528,29568
